id,item,cost,quantity
1,Pastry - Lemon Danish - Mini,$3.88,3
2,Sobe - Merry Berry Energy,$1.85,3
3,Grenadillo,$2.53,2
4,The Pop Shoppe - Root Beer,$0.80,2
5,Truffle Cups - Brown,$4.32,2
6,Crab - Meat Combo,$1.94,5
7,Fork - Plastic,$0.55,4
8,Beef - Bones Marrow,$4.65,4
9,Russian Prince,$4.75,4
10,Flour - Chickpea,$1.20,5
11,Wine - Sauvignon Blanc Oyster,$1.62,4
12,Bread - Petit Baguette,$0.64,1
13,Flour - Buckwheat Dark,$2.19,4
14,Brie Cheese - Mix,$0.58,5
15,Seabream Whole Farmed,$4.26,4
